x,y,layer1,layer2,voltage1,voltage2,current
567.168,2137.56,L3_-_GND,L4_-_SECONDARY,0.00773914,0.00773914,-9.63959e-15
578.979,2724.17,L1_-_PRIMARY,L2_-_GND,0.0083834,0.00837057,0.0475438
578.979,2724.17,L2_-_GND,L3_-_GND,0.00837057,0.00833997,0.0199718
578.979,2724.17,L3_-_GND,L4_-_SECONDARY,0.00833997,0.00833997,-6.4264e-15
606.538,2019.45,L1_-_PRIMARY,L2_-_GND,0.00768945,0.00765397,0.131441
606.538,2019.45,L2_-_GND,L3_-_GND,0.00765397,0.0075962,0.037713
606.538,2019.45,L3_-_GND,L4_-_SECONDARY,0.0075962,0.0075962,-6.4264e-15
606.538,2098.19,L1_-_PRIMARY,L2_-_GND,0.0077592,0.00775586,0.0123588
606.538,2098.19,L2_-_GND,L3_-_GND,0.00775586,0.00773472,0.0137982
606.538,2098.19,L3_-_GND,L4_-_SECONDARY,0.00773472,0.00773472,-6.4264e-15
614.412,2683.82,L1_-_PRIMARY,L2_-_GND,0.00839749,0.00838239,0.0559543
614.412,2683.82,L2_-_GND,L3_-_GND,0.00838239,0.00835292,0.0192379
614.412,2683.82,L3_-_GND,L4_-_SECONDARY,0.00835292,0.00835292,-6.4264e-15
645.908,2058.82,L1_-_PRIMARY,L2_-_GND,0.00776563,0.0077546,0.0408677
645.908,2058.82,L2_-_GND,L3_-_GND,0.0077546,0.00773034,0.0158375
645.908,2058.82,L3_-_GND,L4_-_SECONDARY,0.00773034,0.00773034,-6.4264e-15
645.908,2137.56,L1_-_PRIMARY,L2_-_GND,0.00781405,0.00783935,-0.0937202
645.908,2137.56,L2_-_GND,L3_-_GND,0.00783935,0.00785078,-0.00745746
645.908,2137.56,L3_-_GND,L4_-_SECONDARY,0.00785078,0.00785078,-1.28528e-14
673.467,2683.82,L1_-_PRIMARY,L2_-_GND,0.00844114,0.00844276,-0.00600324
673.467,2683.82,L2_-_GND,L3_-_GND,0.00844276,0.00842932,0.0087701
673.467,2683.82,L3_-_GND,L4_-_SECONDARY,0.00842932,0.00842932,-6.4264e-15
685.278,2019.45,L1_-_PRIMARY,L2_-_GND,0.00778811,0.00775629,0.117883
685.278,2019.45,L2_-_GND,L3_-_GND,0.00775629,0.00772588,0.0198465
685.278,2019.45,L3_-_GND,L4_-_SECONDARY,0.00772588,0.00772588,-6.4264e-15
685.278,2098.19,L1_-_PRIMARY,L2_-_GND,0.00783087,0.00784382,-0.0479631
685.278,2098.19,L2_-_GND,L3_-_GND,0.00784382,0.00785612,-0.00802833
685.278,2098.19,L3_-_GND,L4_-_SECONDARY,0.00785612,0.00785612,-6.4264e-15
718.819,433.074,L1_-_PRIMARY,L2_-_GND,0.00786902,0.00787308,-0.0150589
718.819,433.074,L2_-_GND,L3_-_GND,0.00787308,0.00787964,-0.00427779
718.819,433.074,L3_-_GND,L4_-_SECONDARY,0.00787964,0.00787964,-6.4264e-15
718.819,482.942,L1_-_PRIMARY,L2_-_GND,0.00785909,0.00786131,-0.00822747
718.819,482.942,L2_-_GND,L3_-_GND,0.00786131,0.00786629,-0.00324872
718.819,482.942,L3_-_GND,L4_-_SECONDARY,0.00786629,0.00786629,-6.4264e-15
718.819,532.811,L1_-_PRIMARY,L2_-_GND,0.00783892,0.00784338,-0.0165366
718.819,532.811,L2_-_GND,L3_-_GND,0.00784338,0.00784839,-0.00326906
718.819,532.811,L3_-_GND,L4_-_SECONDARY,0.00784839,0.00784839,-6.4264e-15
718.819,582.68,L1_-_PRIMARY,L2_-_GND,0.00781334,0.00782131,-0.0295161
718.819,582.68,L2_-_GND,L3_-_GND,0.00782131,0.00782537,-0.00265083
718.819,582.68,L3_-_GND,L4_-_SECONDARY,0.00782537,0.00782537,-6.4264e-15
718.819,632.548,L1_-_PRIMARY,L2_-_GND,0.00779596,0.00778346,0.0462993
718.819,632.548,L2_-_GND,L3_-_GND,0.00778346,0.00776987,0.00887407
718.819,632.548,L3_-_GND,L4_-_SECONDARY,0.00776987,0.00776987,-6.4264e-15
718.819,682.417,L1_-_PRIMARY,L2_-_GND,0.00777322,0.00775489,0.0678857
718.819,682.417,L2_-_GND,L3_-_GND,0.00775489,0.00773796,0.0110548
718.819,682.417,L3_-_GND,L4_-_SECONDARY,0.00773796,0.00773796,-6.4264e-15
722.68,383.204,L1_-_PRIMARY,L2_-_GND,0.00787553,0.00788764,-0.0448459
722.68,383.204,L2_-_GND,L3_-_GND,0.00788764,0.00789926,-0.00758811
722.68,383.204,L3_-_GND,L4_-_SECONDARY,0.00789926,0.00789926,-6.4264e-15
724.648,2058.82,L1_-_PRIMARY,L2_-_GND,0.0078485,0.00785699,-0.0314638
724.648,2058.82,L2_-_GND,L3_-_GND,0.00785699,0.00786655,-0.00623663
724.648,2058.82,L3_-_GND,L4_-_SECONDARY,0.00786655,0.00786655,-6.4264e-15
724.648,2137.56,L1_-_PRIMARY,L2_-_GND,0.00788438,0.00794031,-0.207187
724.648,2137.56,L2_-_GND,L3_-_GND,0.00794031,0.00798112,-0.0266445
724.648,2137.56,L3_-_GND,L4_-_SECONDARY,0.00798112,0.00798112,-6.4264e-15
724.648,2569.84,L1_-_PRIMARY,L2_-_GND,0.00843723,0.00842582,0.0422897
724.648,2569.84,L2_-_GND,L3_-_GND,0.00842582,0.00839415,0.0206712
724.648,2569.84,L3_-_GND,L4_-_SECONDARY,0.00839415,0.00839415,-6.4264e-15
724.648,2622.6,L1_-_PRIMARY,L2_-_GND,0.00844706,0.00844571,0.00498807
724.648,2622.6,L2_-_GND,L3_-_GND,0.00844571,0.00842185,0.0155761
724.648,2622.6,L3_-_GND,L4_-_SECONDARY,0.00842185,0.00842185,-6.4264e-15
724.648,2675.35,L1_-_PRIMARY,L2_-_GND,0.00846236,0.0084767,-0.0531136
724.648,2675.35,L2_-_GND,L3_-_GND,0.0084767,0.00846969,0.00457189
724.648,2675.35,L3_-_GND,L4_-_SECONDARY,0.00846969,0.00846969,-6.4264e-15
724.648,2728.11,L1_-_PRIMARY,L2_-_GND,0.00847045,0.00849519,-0.091659
724.648,2728.11,L2_-_GND,L3_-_GND,0.00849519,0.00849036,0.00315046
724.648,2728.11,L3_-_GND,L4_-_SECONDARY,0.00849036,0.00849036,-6.4264e-15
764.018,2019.45,L1_-_PRIMARY,L2_-_GND,0.00786678,0.00787573,-0.0331294
764.018,2019.45,L2_-_GND,L3_-_GND,0.00787573,0.00788182,-0.00398012
764.018,2019.45,L3_-_GND,L4_-_SECONDARY,0.00788182,0.00788182,-6.4264e-15
764.018,2098.19,L1_-_PRIMARY,L2_-_GND,0.00789912,0.00796286,-0.236118
764.018,2098.19,L2_-_GND,L3_-_GND,0.00796286,0.0080057,-0.027964
764.018,2098.19,L3_-_GND,L4_-_SECONDARY,0.0080057,0.0080057,-6.4264e-15
836.853,1334.41,L1_-_PRIMARY,L2_-_GND,0.00709928,0.00709928,6.4264e-15
836.853,1334.41,L2_-_GND,L3_-_GND,0.00709928,0.00711017,-0.00711355
836.853,1334.41,L3_-_GND,L4_-_SECONDARY,0.00711017,0.00711017,-0
838.822,1976.14,L1_-_PRIMARY,L2_-_GND,0.00791851,0.00797977,-0.226939
838.822,1976.14,L2_-_GND,L3_-_GND,0.00797977,0.00800291,-0.0151053
838.822,1976.14,L3_-_GND,L4_-_SECONDARY,0.00800291,0.00800291,-6.4264e-15
866.381,1921.02,L1_-_PRIMARY,L2_-_GND,0.00791193,0.00791549,-0.0131961
866.381,1921.02,L2_-_GND,L3_-_GND,0.00791549,0.00791421,0.000835704
866.381,1921.02,L3_-_GND,L4_-_SECONDARY,0.00791421,0.00791421,-6.4264e-15
895.908,1546.02,L1_-_PRIMARY,L2_-_GND,0.00726576,0.00726576,6.4264e-15
895.908,1546.02,L2_-_GND,L3_-_GND,0.00726576,0.00726841,-0.00173284
895.908,1546.02,L3_-_GND,L4_-_SECONDARY,0.00726841,0.00726841,-6.4264e-15
952.994,1814.72,L1_-_PRIMARY,L2_-_GND,35.8718,35.8718,0.0419896
952.994,1814.72,L2_-_GND,L3_-_GND,35.8718,35.8717,0.0419896
952.994,1814.72,L3_-_GND,L4_-_SECONDARY,35.8717,35.8717,0.0419896
952.994,1861.97,L1_-_PRIMARY,L2_-_GND,35.8714,35.8714,-0.0106215
952.994,1861.97,L2_-_GND,L3_-_GND,35.8714,35.8714,-0.0106215
952.994,1861.97,L3_-_GND,L4_-_SECONDARY,35.8714,35.8714,-0.0106215
952.995,1484.01,L1_-_PRIMARY,L2_-_GND,35.8761,35.8759,0.859982
