vrefdes,vpin,refdes,pin
VCOMP0,0,J1,1
VCOMP0,1,J1,2
VCOMP1,0,J4,pdna_pin_1_1
VCOMP1,1,J4,pdna_pin_1_2
VCOMP1,2,J4,pdna_pin_1_3
VCOMP1,3,J4,pdna_pin_1_4
VCOMP1,4,J5,pdna_pin_1_1
VCOMP1,5,J5,pdna_pin_1_2
VCOMP1,6,J5,pdna_pin_1_3
VCOMP1,7,J5,pdna_pin_1_4
VCOMP2,0,Q1,8
VCOMP2,1,Q1,7
VCOMP2,2,Q1,6
VCOMP2,3,Q1,5
VCOMP2,4,Q1,1
VCOMP2,5,Q1,2
VCOMP2,6,Q1,3
VCOMP3,0,Q4,1
VCOMP3,1,Q4,2
VCOMP3,2,Q4,3
VCOMP3,3,Q4,8
VCOMP3,4,Q4,7
VCOMP3,5,Q4,6
VCOMP3,6,Q4,5
