vrefdes,vpin,refdes,pin
VCOMP0,0,J1,1
VCOMP0,1,J1,2
VCOMP1,0,J5,pdna_pin_1_1
VCOMP1,1,J5,pdna_pin_1_2
VCOMP1,2,J5,pdna_pin_1_3
VCOMP1,3,J5,pdna_pin_1_4
VCOMP1,4,J6,pdna_pin_1_1
VCOMP1,5,J6,pdna_pin_1_2
VCOMP1,6,J6,pdna_pin_1_3
VCOMP1,7,J6,pdna_pin_1_4
VCOMP2,0,Q6,1
VCOMP2,1,Q6,2
VCOMP2,2,Q6,3
VCOMP2,3,Q6,8
VCOMP2,4,Q6,7
VCOMP2,5,Q6,6
VCOMP2,6,Q6,5
VCOMP3,0,Q3,8
VCOMP3,1,Q3,7
VCOMP3,2,Q3,6
VCOMP3,3,Q3,5
VCOMP3,4,Q3,1
VCOMP3,5,Q3,2
VCOMP3,6,Q3,3
