x,y,layer1,layer2,voltage1,voltage2,current
567.168,2137.56,L3_-_GND,L4_-_SECONDARY,0.00762815,0.00762815,-6.4264e-15
578.979,2724.17,L1_-_PRIMARY,L2_-_GND,0.00837288,0.00836005,0.0475436
578.979,2724.17,L2_-_GND,L3_-_GND,0.00836005,0.00834264,0.0113659
578.979,2724.17,L3_-_GND,L4_-_SECONDARY,0.00834264,0.00834264,-6.4264e-15
606.538,2019.45,L1_-_PRIMARY,L2_-_GND,0.00754714,0.00751458,0.120632
606.538,2019.45,L2_-_GND,L3_-_GND,0.00751458,0.00747138,0.0282018
606.538,2019.45,L3_-_GND,L4_-_SECONDARY,0.00747138,0.00747138,-6.4264e-15
606.538,2098.19,L1_-_PRIMARY,L2_-_GND,0.00761794,0.00761779,0.000542915
606.538,2098.19,L2_-_GND,L3_-_GND,0.00761779,0.00761152,0.00409603
606.538,2098.19,L3_-_GND,L4_-_SECONDARY,0.00761152,0.00761152,-6.4264e-15
614.412,2683.82,L1_-_PRIMARY,L2_-_GND,0.00838513,0.00836908,0.0594719
614.412,2683.82,L2_-_GND,L3_-_GND,0.00836908,0.00835173,0.0113254
614.412,2683.82,L3_-_GND,L4_-_SECONDARY,0.00835173,0.00835173,-6.4264e-15
645.908,2058.82,L1_-_PRIMARY,L2_-_GND,0.00761743,0.00760831,0.0337949
645.908,2058.82,L2_-_GND,L3_-_GND,0.00760831,0.00759677,0.00753493
645.908,2058.82,L3_-_GND,L4_-_SECONDARY,0.00759677,0.00759677,-6.4264e-15
645.908,2137.56,L1_-_PRIMARY,L2_-_GND,0.00766824,0.00769661,-0.10513
645.908,2137.56,L2_-_GND,L3_-_GND,0.00769661,0.00772432,-0.0180883
645.908,2137.56,L3_-_GND,L4_-_SECONDARY,0.00772432,0.00772432,-6.4264e-15
673.467,2683.82,L1_-_PRIMARY,L2_-_GND,0.00843243,0.0084349,-0.00917997
673.467,2683.82,L2_-_GND,L3_-_GND,0.0084349,0.00843689,-0.00129546
673.467,2683.82,L3_-_GND,L4_-_SECONDARY,0.00843689,0.00843689,-6.4264e-15
685.278,2019.45,L1_-_PRIMARY,L2_-_GND,0.00763098,0.00760094,0.111272
685.278,2019.45,L2_-_GND,L3_-_GND,0.00760094,0.00758408,0.0110072
685.278,2019.45,L3_-_GND,L4_-_SECONDARY,0.00758408,0.00758408,-6.4264e-15
685.278,2098.19,L1_-_PRIMARY,L2_-_GND,0.0076768,0.00769089,-0.0522067
685.278,2098.19,L2_-_GND,L3_-_GND,0.00769089,0.00771632,-0.0165979
685.278,2098.19,L3_-_GND,L4_-_SECONDARY,0.00771632,0.00771632,-6.4264e-15
718.819,433.074,L1_-_PRIMARY,L2_-_GND,0.0082118,0.0082177,-0.0218579
718.819,433.074,L2_-_GND,L3_-_GND,0.0082177,0.00823392,-0.0105894
718.819,433.074,L3_-_GND,L4_-_SECONDARY,0.00823392,0.00823392,-6.4264e-15
718.819,482.942,L1_-_PRIMARY,L2_-_GND,0.008196,0.00819864,-0.00980149
718.819,482.942,L2_-_GND,L3_-_GND,0.00819864,0.00821211,-0.00878975
718.819,482.942,L3_-_GND,L4_-_SECONDARY,0.00821211,0.00821211,-6.4264e-15
718.819,532.811,L1_-_PRIMARY,L2_-_GND,0.00816488,0.0081707,-0.0215392
718.819,532.811,L2_-_GND,L3_-_GND,0.0081707,0.00818473,-0.00915931
718.819,532.811,L3_-_GND,L4_-_SECONDARY,0.00818473,0.00818473,-6.4264e-15
718.819,582.68,L1_-_PRIMARY,L2_-_GND,0.0081262,0.00813727,-0.0410133
718.819,582.68,L2_-_GND,L3_-_GND,0.00813727,0.00815145,-0.00925618
718.819,582.68,L3_-_GND,L4_-_SECONDARY,0.00815145,0.00815145,-6.4264e-15
718.819,632.548,L1_-_PRIMARY,L2_-_GND,0.0081012,0.00808271,0.0684954
718.819,632.548,L2_-_GND,L3_-_GND,0.00808271,0.00807445,0.00538954
718.819,632.548,L3_-_GND,L4_-_SECONDARY,0.00807445,0.00807445,-6.4264e-15
718.819,682.417,L1_-_PRIMARY,L2_-_GND,0.00806825,0.00804158,0.0987945
718.819,682.417,L2_-_GND,L3_-_GND,0.00804158,0.00803111,0.006839
718.819,682.417,L3_-_GND,L4_-_SECONDARY,0.00803111,0.00803111,-6.4264e-15
722.68,383.204,L1_-_PRIMARY,L2_-_GND,0.00822254,0.00824227,-0.073078
722.68,383.204,L2_-_GND,L3_-_GND,0.00824227,0.00826783,-0.0166855
722.68,383.204,L3_-_GND,L4_-_SECONDARY,0.00826783,0.00826783,-6.4264e-15
724.648,2058.82,L1_-_PRIMARY,L2_-_GND,0.00768525,0.00769279,-0.0279242
724.648,2058.82,L2_-_GND,L3_-_GND,0.00769279,0.00771508,-0.0145493
724.648,2058.82,L3_-_GND,L4_-_SECONDARY,0.00771508,0.00771508,-6.4264e-15
724.648,2137.56,L1_-_PRIMARY,L2_-_GND,0.00772453,0.00777934,-0.203058
724.648,2137.56,L2_-_GND,L3_-_GND,0.00777934,0.00783817,-0.0384035
724.648,2137.56,L3_-_GND,L4_-_SECONDARY,0.00783817,0.00783817,-6.4264e-15
724.648,2569.84,L1_-_PRIMARY,L2_-_GND,0.00841434,0.00839559,0.0694489
724.648,2569.84,L2_-_GND,L3_-_GND,0.00839559,0.00837721,0.011996
724.648,2569.84,L3_-_GND,L4_-_SECONDARY,0.00837721,0.00837721,-6.4264e-15
724.648,2622.6,L1_-_PRIMARY,L2_-_GND,0.0084299,0.00842573,0.0154612
724.648,2622.6,L2_-_GND,L3_-_GND,0.00842573,0.00841579,0.00648798
724.648,2622.6,L3_-_GND,L4_-_SECONDARY,0.00841579,0.00841579,-6.4264e-15
724.648,2675.35,L1_-_PRIMARY,L2_-_GND,0.00845306,0.00847108,-0.0667682
724.648,2675.35,L2_-_GND,L3_-_GND,0.00847108,0.0084836,-0.00817438
724.648,2675.35,L3_-_GND,L4_-_SECONDARY,0.0084836,0.0084836,-6.4264e-15
724.648,2728.11,L1_-_PRIMARY,L2_-_GND,0.00846499,0.0084963,-0.115977
724.648,2728.11,L2_-_GND,L3_-_GND,0.0084963,0.00851486,-0.0121151
724.648,2728.11,L3_-_GND,L4_-_SECONDARY,0.00851486,0.00851486,-6.4264e-15
764.018,2019.45,L1_-_PRIMARY,L2_-_GND,0.00769372,0.00769841,-0.0173675
764.018,2019.45,L2_-_GND,L3_-_GND,0.00769841,0.00772001,-0.0140981
764.018,2019.45,L3_-_GND,L4_-_SECONDARY,0.00772001,0.00772001,-6.4264e-15
764.018,2098.19,L1_-_PRIMARY,L2_-_GND,0.0077308,0.00778734,-0.20944
764.018,2098.19,L2_-_GND,L3_-_GND,0.00778734,0.00784749,-0.0392683
764.018,2098.19,L3_-_GND,L4_-_SECONDARY,0.00784749,0.00784749,-1.28528e-14
836.853,1334.41,L1_-_PRIMARY,L2_-_GND,0.00709302,0.00709302,6.4264e-15
836.853,1334.41,L2_-_GND,L3_-_GND,0.00709302,0.00712988,-0.0240601
836.853,1334.41,L3_-_GND,L4_-_SECONDARY,0.00712988,0.00712988,-6.4264e-15
838.822,1976.14,L1_-_PRIMARY,L2_-_GND,0.00772682,0.00777178,-0.166573
838.822,1976.14,L2_-_GND,L3_-_GND,0.00777178,0.00781652,-0.029201
838.822,1976.14,L3_-_GND,L4_-_SECONDARY,0.00781652,0.00781652,-6.4264e-15
866.381,1921.02,L1_-_PRIMARY,L2_-_GND,0.00771452,0.00771026,0.0158029
866.381,1921.02,L2_-_GND,L3_-_GND,0.00771026,0.00773364,-0.0152642
866.381,1921.02,L3_-_GND,L4_-_SECONDARY,0.00773364,0.00773364,-6.4264e-15
895.908,1546.02,L1_-_PRIMARY,L2_-_GND,0.0071498,0.0071498,6.4264e-15
895.908,1546.02,L2_-_GND,L3_-_GND,0.0071498,0.00718306,-0.0217076
895.908,1546.02,L3_-_GND,L4_-_SECONDARY,0.00718306,0.00718306,-6.4264e-15
1262.15,535.764,L1_-_PRIMARY,L2_-_GND,0.00905838,0.00903331,0.0928457
1262.15,535.764,L2_-_GND,L3_-_GND,0.00903331,0.00901559,0.0115703
1262.15,535.764,L3_-_GND,L4_-_SECONDARY,0.00901559,0.00901559,-6.4264e-15
1321.2,535.764,L1_-_PRIMARY,L2_-_GND,0.00909718,0.00909046,0.0248655
1321.2,535.764,L2_-_GND,L3_-_GND,0.00909046,0.00908334,0.00465022
1321.2,535.764,L3_-_GND,L4_-_SECONDARY,0.00908334,0.00908334,-6.4264e-15
1362.44,1688.74,L1_-_PRIMARY,L2_-_GND,0.00980454,0.00976719,0.138367
1362.44,1688.74,L2_-_GND,L3_-_GND,0.00976719,0.00970751,0.0389574
1362.44,1688.74,L3_-_GND,L4_-_SECONDARY,0.00970751,0.00970751,-6.4264e-15
1362.44,1741.89,L1_-_PRIMARY,L2_-_GND,0.00980746,0.009783,0.0905914
1362.44,1741.89,L2_-_GND,L3_-_GND,0.009783,0.00972556,0.0374969
1362.44,1741.89,L3_-_GND,L4_-_SECONDARY,0.00972556,0.00972556,-6.4264e-15
1362.44,1848.19,L1_-_PRIMARY,L2_-_GND,0.00979063,0.00975101,0.146765
1362.44,1848.19,L2_-_GND,L3_-_GND,0.00975101,0.00967683,0.0484259
1362.44,1848.19,L3_-_GND,L4_-_SECONDARY,0.00967683,0.00967683,-6.4264e-15
1362.44,1954.49,L1_-_PRIMARY,L2_-_GND,0.00976133,0.00967927,0.303988
1362.44,1954.49,L2_-_GND,L3_-_GND,0.00967927,0.0095803,0.064604
1362.44,1954.49,L3_-_GND,L4_-_SECONDARY,0.0095803,0.0095803,6.4264e-15
1372.38,421.787,L1_-_PRIMARY,L2_-_GND,0.00915114,0.00915798,-0.0253322
1372.38,421.787,L2_-_GND,L3_-_GND,0.00915798,0.00916156,-0.0023347
1372.38,421.787,L3_-_GND,L4_-_SECONDARY,0.00916156,0.00916156,-6.4264e-15
1372.38,474.543,L1_-_PRIMARY,L2_-_GND,0.00914173,0.00914982,-0.0299463
1372.38,474.543,L2_-_GND,L3_-_GND,0.00914982,0.00915451,-0.0030672
