vrefdes,vpin,refdes,pin
VCOMP0,0,J1,1
VCOMP0,1,J1,2
VCOMP1,0,J6,pdna_pin_1_1
VCOMP1,1,J6,pdna_pin_1_2
VCOMP1,2,J6,pdna_pin_1_3
VCOMP1,3,J6,pdna_pin_1_4
VCOMP1,4,J4,pdna_pin_1_1
VCOMP1,5,J4,pdna_pin_1_2
VCOMP1,6,J4,pdna_pin_1_3
VCOMP1,7,J4,pdna_pin_1_4
VCOMP2,0,Q5,8
VCOMP2,1,Q5,7
VCOMP2,2,Q5,6
VCOMP2,3,Q5,5
VCOMP2,4,Q5,1
VCOMP2,5,Q5,2
VCOMP2,6,Q5,3
VCOMP3,0,R4,1
VCOMP3,1,R4,2
VCOMP4,0,Q2,1
VCOMP4,1,Q2,2
VCOMP4,2,Q2,3
VCOMP4,3,Q2,8
VCOMP4,4,Q2,7
VCOMP4,5,Q2,6
VCOMP4,6,Q2,5
